date,bundle_id,segment_id,dh_arm,treated_share
2026-08-22,819,SS-008558-PV1,Partial,0.5
2026-08-22,819,SS-011911-PV1,Control,0.0
2026-08-22,819,SS-008557-PV1,Control,0.0
2026-08-22,819,SS-001799-PV1,Full,1.0
2026-08-22,819,SS-011912-PV1,Control,0.0
2026-08-22,819,SS-018375-PV1,Control,0.0
2026-08-22,819,SS-008559-PV1,Control,0.0
2026-08-22,819,SS-018376-PV1,Full,1.0
2026-08-22,819,SS-005022-PV1,Partial,0.5
2026-08-22,313,SS-002767-PV1,Partial,0.5
2026-08-22,313,SS-002766-PV1,Control,0.0
2026-08-22,313,SS-003968-PV1,Control,0.0
2026-08-22,313,SS-003967-PV1,Control,0.0
2026-08-22,313,SS-004830-PV1,Partial,0.5
2026-08-22,5649,SS-022178-PV1,Full,1.0
2026-08-22,5649,SS-022205-PV1,Control,0.0
2026-08-22,5649,SS-021171-PV1,Full,1.0
2026-08-22,5649,SS-025234-PV1,Control,0.0
2026-08-22,5649,SS-008245-PV1,Control,0.0
2026-08-22,5649,SS-022179-PV1,Control,0.0
2026-08-22,5649,SS-008243-PV1,Partial,0.5
2026-08-22,5649,SS-008244-PV1,Control,0.0
2026-08-22,5649,SS-022688-PV1,Control,0.0
2026-08-22,5649,SS-021172-PV1,Control,0.0
2026-08-22,3075,SS-011085-PV1,Full,1.0
2026-08-22,3075,SS-005144-PV1,Partial,0.5
2026-08-22,3075,SS-005143-PV1,Full,1.0
2026-08-22,3075,SS-005141-PV1,Full,1.0
2026-08-22,3075,SS-005142-PV1,Control,0.0
2026-08-22,3075,SS-011086-PV1,Control,0.0
2026-08-22,5781,SS-027812-PV1,Control,0.0
2026-08-22,5781,SS-027662-PV1,Partial,0.5
2026-08-22,5781,SS-027663-PV1,Partial,0.5
2026-08-22,5781,SS-006466-PV1,Partial,0.5
2026-08-22,5781,SS-027664-PV1,Full,1.0
2026-08-22,5781,SS-008413-PV1,Full,1.0
2026-08-22,5781,SS-027811-PV1,Partial,0.5
2026-08-22,5781,SS-027554-PV1,Full,1.0
2026-08-22,5781,SS-020050-PV1,Control,0.0
2026-08-22,5781,SS-027555-PV1,Partial,0.5
2026-08-22,2438,SS-012238-PV1,Control,0.0
2026-08-22,2438,SS-025438-PV1,Control,0.0
2026-08-22,2438,SS-025440-PV1,Partial,0.5
2026-08-22,2438,SS-021749-PV1,Control,0.0
2026-08-22,2438,SS-025439-PV1,Control,0.0
